PointID,Year,Site_ID_OriginalStudy,Easting,Northing,OriginalClass,ConvertedClass
429,2010,C74,830948.3,839204.8,Cultivation,Grassland
430,2010,C76,831606.8,841911.3,Other (urban or highly modified area),Built-up area
431,2010,C77,831745.7,841120.6,Cultivation,Grassland
432,2010,C78,831931.2,841116.8,Cultivation,Grassland
433,2010,C79,832294.4,840662.7,Cultivation,Grassland
434,2010,C80,832517.3,840666.1,Cultivation,Grassland
435,2010,C81,832813.6,840814.3,Cultivation,Grassland
436,2010,C82,825618.2,831409,Other (urban or highly modified area),Built-up area
437,2010,C83,825821.9,831533.8,Other (urban or highly modified area),Built-up area
438,2010,C85,826128.5,832237.1,Cultivation,Grassland
439,2015,ABR1,834787.2,813426.4,Shrubland,Shrubland
440,2015,ABR2,834487.5,813340.8,Woodland,Woodland
441,2015,ABR3,834484.2,813591.8,Woodland,Woodland
442,2015,ABR4,834734.9,813466.4,Woodland,Woodland
443,2015,ABW1,836930.3,812868.4,Woodland,Woodland
444,2015,CPK1,813830.1,827891.4,Woodland,Woodland
445,2015,CPK2,813725.7,827881.9,Shrubland,Shrubland
446,2015,CPK3,813498.9,827891.6,Shrubland,Shrubland
447,2015,CPK4,813413.4,827871.6,Woodland,Woodland
448,2015,HIR1,853593.5,825353.5,Shrubland,Shrubland
449,2015,KFBG1,830330.5,832314.6,Woodland,Woodland
450,2015,KRC2,829826.1,832259.4,Woodland,Woodland
451,2015,KRC3,829888.8,832193,Shrubland,Shrubland
452,2015,LDB1,819802.9,819011.5,Grassland,Grassland
453,2015,LIS1,827167.8,828484.7,Woodland,Woodland
454,2015,LKG1,841330.8,841365.6,Grassland,Grassland
455,2015,LLS1,835419.1,811126.6,Shrubland,Shrubland
456,2015,LLS2,835601.6,811410.1,Shrubland,Shrubland
457,2015,LLS3,835894.4,811323.7,Shrubland,Shrubland
458,2015,LMI1,831998.7,807557.1,Shrubland,Shrubland
459,2015,LMI2,832267.8,807459.6,Shrubland,Shrubland
